--------------------flat---------------------
##read
|  depth   |w/o index | w index  |   diff   |
|----------|----------|----------|----------|
|    1     |     34646|       129|      -100|

##update
|  depth   |w/o index | w index  |   diff   |
|----------|----------|----------|----------|
|    1     |      4117|       258|       -94|

##insert
|  depth   |w/o index | w index  |   diff   |
|----------|----------|----------|----------|
|    1     |     11905|       385|       -97|

##insert
|  depth   |w/o index | w index  |   diff   |
|----------|----------|----------|----------|
|    1     |     11905|       385|       -97|

##read
|  depth   |w/o index | w index  |   diff   |
|----------|----------|----------|----------|
|    1     |     15722|       332|       -98|

---------------------------------------------

--------------------flat---------------------
##read
|  depth   |w/o index | w index  |   diff   |
|----------|----------|----------|----------|
|    1     |     35581|       134|      -100|

##update
|  depth   |w/o index | w index  |   diff   |
|----------|----------|----------|----------|
|    1     |      4174|       275|       -93|

##insert
|  depth   |w/o index | w index  |   diff   |
|----------|----------|----------|----------|
|    1     |      4218|       333|       -92|

##insert only
|  depth   |w/o index | w index  |   diff   |
|----------|----------|----------|----------|
|    1     |       333|       389|        17|

##read
|  depth   |w/o index | w index  |   diff   |
|----------|----------|----------|----------|
|    1     |     16063|       526|       -97|

---------------------------------------------

--------------------flat---------------------
##read
|  depth   |w/o index | w index  |   diff   |
|----------|----------|----------|----------|
|    1     |     36381|       165|      -100|

##update heavy
|  depth   |w/o index | w index  |   diff   |
|----------|----------|----------|----------|
|    1     |      4328|       274|       -94|

##update only
|  depth   |w/o index | w index  |   diff   |
|----------|----------|----------|----------|
|    1     |       288|       288|        -0|

##insert
|  depth   |w/o index | w index  |   diff   |
|----------|----------|----------|----------|
|    1     |       347|       440|        27|

##insert only
|  depth   |w/o index | w index  |   diff   |
|----------|----------|----------|----------|
|    1     |       346|       371|         7|

##read
|  depth   |w/o index | w index  |   diff   |
|----------|----------|----------|----------|
|    1     |     24997|       339|       -99|

---------------------------------------------

--------------------flat---------------------

--------------------flat---------------------
##read
|  depth   |w/o index | w index  |   diff   |
|----------|----------|----------|----------|
|    1     |     37125|       177|      -100|

##update heavy
|  depth   |w/o index | w index  |   diff   |
|----------|----------|----------|----------|
|    1     |     12549|       410|       -97|

##update only
|  depth   |w/o index | w index  |   diff   |
|----------|----------|----------|----------|
|    1     |       395|       319|       -19|

##insert
|  depth   |w/o index | w index  |   diff   |
|----------|----------|----------|----------|
|    1     |      4501|       393|       -91|

##insert only
|  depth   |w/o index | w index  |   diff   |
